"Protein.Accession","Gene.Names","Protein.Annotation","X0h.a","X0h.b","X2h.a","X2h.b","X8h.a","X8h.b","X16h.a","X16h.b"
"sp|P29391|FRIL1_MOUSE","Ftl1","Ferritin light chain 1 OS=Mus musculus GN=Ftl1 PE=1 SV=2",39069.8,42946.6,45793.4,45060.7,74578.4,65912.7,68436.2,70509.5
"sp|Q05915|GCH1_MOUSE","Gch1","GTP cyclohydrolase 1 OS=Mus musculus GN=Gch1 PE=1 SV=1",24787.8,24974.6,35995.5,36726.1,73712.4,63492,65434,65337.3
"sp|Q9JJA9|GRASP_MOUSE","Grasp","General receptor for phosphoinositides 1-associated scaffold protein OS=Mus musculus GN=Grasp PE=1 SV=2",1973.6,2371.3,2428.2,3092.6,9892.7,7483,6985.2,6803.5
"sp|Q9QZR5|HIPK2_MOUSE","Hipk2","Homeodomain-interacting protein kinase 2 OS=Mus musculus GN=Hipk2 PE=1 SV=2",11749.6,11767.8,10121.2,8779.5,18521.1,20384.6,17146.8,18124.8
"tr|Q62293|Q62293_MOUSE","Ifggb5","Interferon-gamma-inducible GTPase Ifggb5 protein OS=Mus musculus GN=Ifggb5 PE=2 SV=1",152302.5,150519.4,171166.9,148848,236439.1,252651.4,230686.9,234331.5
"sp|P09450|JUNB_MOUSE","Junb","Transcription factor jun-B OS=Mus musculus GN=Junb PE=1 SV=1",54274.7,54700.3,101688.1,126511.3,145664.4,132558.7,120073.7,130807.1
"sp|Q5NCY0|KDM6B_MOUSE","Kdm6b","Lysine-specific demethylase 6B OS=Mus musculus GN=Kdm6b PE=1 SV=1",38598.4,37818.2,43074.3,56203,187516.1,163194.5,127658.5,131052.9
"sp|O54791|MAFF_MOUSE","Maff","Transcription factor MafF OS=Mus musculus GN=Maff PE=2 SV=1",18376.8,18091.6,25009.6,37420.3,53780.3,47046.2,51580.1,54400.1
"sp|Q61532|MK06_MOUSE","Mapk6","Mitogen-activated protein kinase 6 OS=Mus musculus GN=Mapk6 PE=1 SV=3",18016.3,18989.2,17314.5,21915.4,31933.8,30568,26947.6,27499.4
"tr|F6Q785|F6Q785_MOUSE","Mthfs","Uncharacterized protein (Fragment) OS=Mus musculus GN=Mthfs PE=4 SV=3",18740.4,17361.1,33301,29956.2,37339.9,35413.8,33675.1,31316.4
"sp|P01108|MYC_MOUSE","Myc","Myc proto-oncogene protein OS=Mus musculus GN=Myc PE=1 SV=1",18865.3,16368.3,34005.9,37685.2,69788.5,64628.7,59390.3,62160.8
"sp|Q8R0W6|NFIP1_MOUSE","Ndfip1","NEDD4 family-interacting protein 1 OS=Mus musculus GN=Ndfip1 PE=1 SV=1",11861.8,10958.5,18191.2,16910.5,30617.7,27974.5,28733.6,27449.2
"sp|Q2TB02|IKBD_MOUSE","Nfkbid","NF-kappa-B inhibitor delta OS=Mus musculus GN=Nfkbid PE=1 SV=2",17368.9,19435.4,34351.2,35530.7,52156,47002.4,42780.4,41813
"sp|Q9QZB6|NR4A3_MOUSE","Nr4a3","Nuclear receptor subfamily 4 group A member 3 OS=Mus musculus GN=Nr4a3 PE=2 SV=1",27709.5,28843.6,37684.6,43130.3,79029.6,71215.3,66448.9,63176.9
"sp|O35973|PER1_MOUSE","Per1","Period circadian protein homolog 1 OS=Mus musculus GN=Per1 PE=1 SV=2",41269.1,39778,45640.2,45021.8,69257.8,63532.7,64123.2,66483.9
"sp|P06803|PIM1_MOUSE","Pim1","Serine/threonine-protein kinase pim-1 OS=Mus musculus GN=Pim1 PE=1 SV=2",28230.3,28623.9,43523,37485.9,74346.1,68984.7,54102.9,56802.1
"sp|Q8VHQ3|PP16B_MOUSE","Ppp1r16b","Protein phosphatase 1 regulatory inhibitor subunit 16B OS=Mus musculus GN=Ppp1r16b PE=2 SV=1",15057,14529.4,13079.8,19281.5,41883.3,38743.7,33075.6,34378.2
"sp|Q99MK9-2|RASF1_MOUSE","Rassf1","Isoform C of Ras association domain-containing protein 1 OS=Mus musculus GN=Rassf1",50390.7,46548.5,48458.8,51527.2,79971.5,78072.3,66731.7,71090.7
"sp|Q3U2C5|RN149_MOUSE","Rnf149","E3 ubiquitin-protein ligase RNF149 OS=Mus musculus GN=Rnf149 PE=1 SV=3",17264.4,15188.4,19781.8,20248,36354.5,34109.7,25790.9,27577.2
"sp|A2A7Q9|RN19B_MOUSE","Rnf19b","E3 ubiquitin-protein ligase RNF19B OS=Mus musculus GN=Rnf19b PE=1 SV=2",20039,18618.6,20013.8,22315.3,33923.8,32850.9,29158.6,28685.4
"sp|O88667|RAD_MOUSE","Rrad","GTP-binding protein RAD OS=Mus musculus GN=Rrad PE=1 SV=1",29124.2,29361.6,36006.2,44933.5,59116.1,54150.8,41078,42127.4
"sp|Q60898|SLAP1_MOUSE","Sla","Src-like-adapter OS=Mus musculus GN=Sla PE=1 SV=3",24006.4,26460.9,25601.1,25516.7,49374.3,45274.8,40289.2,39073
"sp|Q8BHK6|SLAF7_MOUSE","Slamf7","SLAM family member 7 OS=Mus musculus GN=Slamf7 PE=2 SV=2",20910.2,22153.5,30297.8,31126.4,89856,76696.6,78883.3,73445.2
"sp|P13609|SRGN_MOUSE","Srgn","Serglycin OS=Mus musculus GN=Srgn PE=1 SV=1",46705.3,46961.5,65202.4,59776.9,86178.2,85340.8,88735.1,86451.8
"sp|Q7TNL3|STK40_MOUSE","Stk40","Serine/threonine-protein kinase 40 OS=Mus musculus GN=Stk40 PE=2 SV=1",17374.1,18566.6,18822.9,17751.2,31834,27270.4,28353.5,27349.7
"sp|B2RWW0|TAGAP_MOUSE","Tagap","T-cell activation Rho GTPase-activating protein OS=Mus musculus GN=Tagap PE=2 SV=2",21549.8,20015,59634.8,57263.9,108017.3,103993,61494.7,62930.2
"sp|P0CAX8|TGAP1_MOUSE","Tagap1","T-cell activation GTPase-activating protein 1 OS=Mus musculus GN=Tagap1 PE=2 SV=1",24361.1,22213.8,52409,44673.9,70967.3,70565.5,44900.6,46936.2
"sp|Q4JK59|TET2_MOUSE","Tet2","Methylcytosine dioxygenase TET2 OS=Mus musculus GN=Tet2 PE=1 SV=3",47294.8,33881.5,59811.3,51498.6,75601.8,69189,66762.6,70727.1
"sp|P70284|TGIF1_MOUSE","Tgif1","Homeobox protein TGIF1 OS=Mus musculus GN=Tgif1 PE=2 SV=2",16076.6,15367,19443.3,19165.7,30318,27922.2,23398.4,22762.3
"sp|Q8C0Y1|TGIF2_MOUSE","Tgif2","Homeobox protein TGIF2 OS=Mus musculus GN=Tgif2 PE=2 SV=1",16421,15857.4,20108.3,19793.3,30124.5,27066.4,23758.3,22826.1
"sp|P02340|P53_MOUSE","Tp53","Cellular tumor antigen p53 OS=Mus musculus GN=Tp53 PE=1 SV=3",12809.4,11170.9,10377.3,14306.3,20425.1,20356.6,19995.6,19735.3
"sp|Q8C0R0|UBP37_MOUSE","Usp37","Ubiquitin carboxyl-terminal hydrolase 37 OS=Mus musculus GN=Usp37 PE=2 SV=1",18323.1,19591.6,20247.9,19238.2,32998.7,30137.7,31187.8,31013.8
"sp|P23950|TISB_MOUSE","Zfp36l1","Zinc finger protein 36, C3H1 type-like 1 OS=Mus musculus GN=Zfp36l1 PE=2 SV=1",21867.6,22097.6,57515.5,52210.9,176806.3,141182.5,65258.6,74360.1
"tr|G3UW58|G3UW58_MOUSE","1810022K09Rik","MCG1043768 OS=Mus musculus GN=1810022K09Rik PE=4 SV=1",24927.7,24350.1,23589.8,24448.7,54112.7,48025.8,85783.9,88257.1
"tr|Q6PGK3|Q6PGK3_MOUSE","2700097O09Rik","Protein 2700097O09Rik OS=Mus musculus GN=2700097O09Rik PE=2 SV=1",20306.5,21326.3,21565.3,19705.2,25601.3,26228.9,34976.5,34497.1
"tr|D3YZ60|D3YZ60_MOUSE","2810428I15Rik","Protein 2810428I15Rik OS=Mus musculus GN=2810428I15Rik PE=4 SV=1",30340.3,28548.9,31382.3,28427.2,33525.1,32247.8,59601.1,61204.4
"tr|E9QJR0|E9QJR0_MOUSE","4833403I15Rik","Protein 4833403I15Rik OS=Mus musculus GN=4833403I15Rik PE=4 SV=1",23962.4,22315.6,14936.6,13014.7,28629.7,28169.7,56244.7,62759
"tr|Q8C5X1|Q8C5X1_MOUSE","4931406P16Rik","Protein 4931406P16Rik OS=Mus musculus GN=4931406P16Rik PE=1 SV=1",18560.8,18892.3,18611.4,17654.8,27159.1,25650.3,33328.7,31889.5
"tr|H3BIW7|H3BIW7_MOUSE","9130401M01Rik","Protein 9130401M01Rik OS=Mus musculus GN=9130401M01Rik PE=4 SV=2",6224.9,6762.4,6742.9,6352,9817.6,9009.5,11486.2,13201.9
"tr|Q3UTB2|Q3UTB2_MOUSE","A630001G21Rik","Protein A630001G21Rik OS=Mus musculus GN=A630001G21Rik PE=2 SV=1",21002.6,21312.2,23560.5,20199.1,25742.6,22486.9,38229,38002.5
"sp|Q9D2R0|AACS_MOUSE","Aacs","Acetoacetyl-CoA synthetase OS=Mus musculus GN=Aacs PE=2 SV=1",97146.4,95595.9,98047.1,92723.4,148147,135780.3,201377.9,202083.6
"tr|J3QN89|J3QN89_MOUSE","Aamp","Protein Aamp OS=Mus musculus GN=Aamp PE=4 SV=1",84883.8,77259,85252.2,80874.8,137454.9,129804.2,198115.3,206346.9
"sp|Q8BGQ7|SYAC_MOUSE","Aars","Alanine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1",125275.4,118752.5,124431.7,117952.1,148310.8,140151.1,219827.6,224537.5
"sp|Q9CQF6|ADPPT_MOUSE","Aasdhppt","L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Mus musculus GN=Aasdhppt PE=2 SV=1",36316.1,36008.1,33634.5,36069.5,45937.1,43145.2,60838.8,62129.2
"sp|P06795|MDR1B_MOUSE","Abcb1b","Multidrug resistance protein 1B OS=Mus musculus GN=Abcb1b PE=1 SV=1",30830.2,30353.9,30930.6,30075,36372.7,35746.8,54975.4,54806.8
"sp|Q9DC29|ABCB6_MOUSE","Abcb6","ATP-binding cassette sub-family B member 6, mitochondrial OS=Mus musculus GN=Abcb6 PE=1 SV=1",27915,23732.3,29844.5,25956.7,28211.4,29608.7,41539.1,40276.2
"sp|O35379|MRP1_MOUSE","Abcc1","Multidrug resistance-associated protein 1 OS=Mus musculus GN=Abcc1 PE=1 SV=1",35749,36313.8,36775.6,35049.3,44548.4,43257.2,58926.6,58594.2
"sp|P61222|ABCE1_MOUSE","Abce1","ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=2 SV=1",167155.6,155783.5,122973.1,159454.8,186083,178564.9,231184,234753.9
"sp|Q6P542|ABCF1_MOUSE","Abcf1","ATP-binding cassette sub-family F member 1 OS=Mus musculus GN=Abcf1 PE=1 SV=1",51444.7,49003.5,28101.2,50653.2,63289.9,64858.8,100466.8,96155.3
"sp|Q99LE6|ABCF2_MOUSE","Abcf2","ATP-binding cassette sub-family F member 2 OS=Mus musculus GN=Abcf2 PE=2 SV=1",106957.7,100471,70253.4,112666.8,152013.4,140655.9,242528.8,243197.1
"sp|Q9QXM0|ABHD2_MOUSE","Abhd2","Abhydrolase domain-containing protein 2 OS=Mus musculus GN=Abhd2 PE=2 SV=1",22792.7,21831.8,24574.2,23053.8,43140.2,43457.6,46850.2,43794.2
"sp|Q9QYL7|ABT1_MOUSE","Abt1","Activator of basal transcription 1 OS=Mus musculus GN=Abt1 PE=2 SV=1",29156.1,25128.8,22448.6,52540.9,38958.6,32314.8,96095.7,90308.9
"sp|Q5SWU9|ACACA_MOUSE","Acaca","Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca PE=1 SV=1",70698.3,71498.5,74849.9,70167.4,95735.6,86692.4,147638.2,150673.6
"sp|Q9D061|ACBD6_MOUSE","Acbd6","Acyl-CoA-binding domain-containing protein 6 OS=Mus musculus GN=Acbd6 PE=2 SV=2",21596.5,22873.6,24205.1,20747.8,41425.6,36385,66006.5,70085.7
"sp|Q91V12|BACH_MOUSE","Acot7","Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=1 SV=2",77988.6,77438.4,79708.9,80419.9,94033.6,91261.7,152316.1,157102.6
"sp|Q9QUJ7|ACSL4_MOUSE","Acsl4","Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus GN=Acsl4 PE=2 SV=2",62716.3,61029.8,68638.2,70835.8,131276.3,115807,136111.8,138227.8
"sp|O35598|ADA10_MOUSE","Adam10","Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus GN=Adam10 PE=1 SV=2",34639.8,35419.2,29498.6,33051.3,43174.2,42327.2,59665.2,57940.5
"sp|P46664|PURA2_MOUSE","Adss","Adenylosuccinate synthetase isozyme 2 OS=Mus musculus GN=Adss PE=1 SV=2",138854.1,141191.4,140325.8,137031.1,177290.1,174334.5,254517.5,267666
"sp|Q9Z248|AEBP2_MOUSE","Aebp2","Zinc finger protein AEBP2 OS=Mus musculus GN=Aebp2 PE=1 SV=2",7819.5,7677,8699.6,8675.7,22264,19405.2,33673.4,32157.8
"sp|Q9CZI9|AEN_MOUSE","Aen","Apoptosis-enhancing nuclease OS=Mus musculus GN=Aen PE=2 SV=1",21055.7,20666.4,20120.5,20408,44622.1,39827.8,67776.6,69952.9
"sp|Q9D1E8|PLCE_MOUSE","Agpat5","1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Mus musculus GN=Agpat5 PE=2 SV=2",40193.1,38982.4,34302,36494.8,52764.2,49491.2,64629.1,65976.6
"sp|Q8R010|AIMP2_MOUSE","Aimp2","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Mus musculus GN=Aimp2 PE=1 SV=2",59863.7,60209,55604.1,60660.9,76524.6,72577,96113.4,99347.3
"sp|Q9WUR9|KAD4_MOUSE","Ak4","Adenylate kinase 4, mitochondrial OS=Mus musculus GN=Ak4 PE=1 SV=1",10349.9,10317.1,9005.8,9908.1,12876.5,12771.4,24185.4,22288.3
"sp|Q8VCP8|KAD6_MOUSE","Ak6","Adenylate kinase isoenzyme 6 OS=Mus musculus GN=Ak6 PE=2 SV=1",20767.1,21486.8,24304.9,20379.6,54276.8,50012.5,91747.5,95977.1
"sp|O08715|AKAP1_MOUSE","Akap1","A-kinase anchor protein 1, mitochondrial OS=Mus musculus GN=Akap1 PE=1 SV=4",17258.3,16922.7,16171.5,17657.3,30449.8,26588.8,64674.9,67063
"sp|Q8VC19|HEM1_MOUSE","Alas1","5-aminolevulinate synthase, nonspecific, mitochondrial OS=Mus musculus GN=Alas1 PE=2 SV=2",25748.4,29249.2,27834.2,25639.5,37174.9,35791.6,46128.9,44563.4
"sp|Q61490|CD166_MOUSE","Alcam","CD166 antigen OS=Mus musculus GN=Alcam PE=1 SV=3",25284.8,25197,27509.6,26249.5,54896.5,47354.3,105703.8,108578.8
"tr|E9Q3Q6|E9Q3Q6_MOUSE","Alcam","CD166 antigen OS=Mus musculus GN=Alcam PE=4 SV=1",44144.9,36580.4,43298.5,43502.2,79459.1,72801.3,141737.7,157632.4
"sp|Q8K2U2|ALKB6_MOUSE","Alkbh6","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6 OS=Mus musculus GN=Alkbh6 PE=2 SV=3",11379.9,11926.2,10813.2,11708.3,15144,14992.8,18132.8,18315.3
"sp|Q9D6Z0|ALKB7_MOUSE","Alkbh7","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial OS=Mus musculus GN=Alkbh7 PE=2 SV=1",24303.7,26252.8,29233.3,25805.2,29959.5,29273,40306.9,43160.7
"sp|P09242|PPBT_MOUSE","Alpl","Alkaline phosphatase, tissue-nonspecific isozyme OS=Mus musculus GN=Alpl PE=1 SV=2",8861.4,7993,9000.7,9043,16320.9,15149.1,37114.4,37439.8
"sp|O08583|THOC4_MOUSE","Alyref","THO complex subunit 4 OS=Mus musculus GN=Alyref PE=1 SV=3",104851.2,104044.6,75896.2,79980.5,139383.3,141975.3,200802.8,213299
"sp|Q9JJW6|ALRF2_MOUSE","Alyref2","Aly/REF export factor 2 OS=Mus musculus GN=Alyref2 PE=1 SV=1",97953.2,96522.1,78954.2,92753.4,122267.2,121814.4,168668,174653.8
"sp|A2AH22|AMRA1_MOUSE","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus GN=Ambra1 PE=1 SV=1",25903.3,26917,24998.4,25840.7,34123.2,33831.9,44391.4,43374.6
"sp|D3Z6H8|DCAM2_MOUSE","Amd2","S-adenosylmethionine decarboxylase proenzyme 2 OS=Mus musculus GN=Amd2 PE=2 SV=1",16508.1,15508.7,17219.8,15289,73958.5,62166.6,130549.4,142646.1
"sp|Q80UL9|JAML1_MOUSE","Amica1","Junctional adhesion molecule-like OS=Mus musculus GN=Amica1 PE=1 SV=2",15336,16436.5,15790.8,15783.5,29369.9,27744,36225.5,35804
"sp|Q8K2H6|APC10_MOUSE","Anapc10","Anaphase-promoting complex subunit 10 OS=Mus musculus GN=Anapc10 PE=1 SV=1",15804,15279.4,13795.1,16478.3,18738.5,18151,24080.9,25511.5
"tr|E9PUR0|E9PUR0_MOUSE","Ankhd1","Protein Ankhd1 OS=Mus musculus GN=Ankhd1 PE=4 SV=1",86484.4,86849.2,65784.2,82518.1,106273.8,101354.7,123577.4,124584.4
"sp|Q6P1H6|ANKL2_MOUSE","Ankle2","Ankyrin repeat and LEM domain-containing protein 2 OS=Mus musculus GN=Ankle2 PE=2 SV=2",75083.1,70016.4,64538.5,75542,80522.2,78005.8,110161.9,111452
"sp|Q3UX43|AN13C_MOUSE","Ankrd13c","Ankyrin repeat domain-containing protein 13C OS=Mus musculus GN=Ankrd13c PE=2 SV=2",20768.8,23688.9,20179.3,21371.5,30923.4,30164.8,39311.9,39504.7
"sp|Q99NH0|ANR17_MOUSE","Ankrd17","Ankyrin repeat domain-containing protein 17 OS=Mus musculus GN=Ankrd17 PE=1 SV=2",83192.5,82423,67284.9,80583,122545.2,114444.6,156490.4,158658.8
"sp|Q8VE42|ANR49_MOUSE","Ankrd49","Ankyrin repeat domain-containing protein 49 OS=Mus musculus GN=Ankrd49 PE=2 SV=1",9586,10205.7,10861.1,9363.9,14280.3,12205.3,17441.8,17382.7
"sp|Q8BTI7|ANR52_MOUSE","Ankrd52","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Mus musculus GN=Ankrd52 PE=1 SV=1",28357.9,28887.5,29165.6,28961,44480,41480.4,67535.4,67521.1
"sp|Q68G58|APEX2_MOUSE","Apex2","DNA-(apurinic or apyrimidinic site) lyase 2 OS=Mus musculus GN=Apex2 PE=1 SV=1",15236.5,15179.6,12973.3,17208.9,17822.7,15437.1,29089.8,30258.9
"sp|Q06335|APLP2_MOUSE","Aplp2","Amyloid-like protein 2 OS=Mus musculus GN=Aplp2 PE=1 SV=4",13725.1,13988.2,13524.9,13540.1,21681,21595.9,24016,25721.2
"sp|E9Q414|APOB_MOUSE","Apob","Apolipoprotein B-100 OS=Mus musculus GN=Apob PE=1 SV=1",51350.8,45565.6,57027,55031.6,77637.9,80251.8,91058,97591.9
"sp|Q9CQW7|APOP1_MOUSE","Apopt1","Apoptogenic protein 1, mitochondrial OS=Mus musculus GN=Apopt1 PE=1 SV=1",29515.5,28843.9,27989.8,30038.8,33690.1,31511.1,61422.3,65886.4
"sp|Q9DAX9|APBP2_MOUSE","Appbp2","Amyloid protein-binding protein 2 OS=Mus musculus GN=Appbp2 PE=2 SV=1",40768.4,38888.4,47224,43129.3,65656.7,59916,69318.3,70098.6
"sp|O88848|ARL6_MOUSE","Arl6","ADP-ribosylation factor-like protein 6 OS=Mus musculus GN=Arl6 PE=2 SV=1",38315.1,39420,38286.9,39306.1,40935.2,38106.3,62362,60014
"sp|Q8BHS6|ARMX3_MOUSE","Armcx3","Armadillo repeat-containing X-linked protein 3 OS=Mus musculus GN=Armcx3 PE=1 SV=1",19177.8,19848.5,20201.9,21307.9,25577.6,23941.1,33641.4,32814.7
"sp|Q91ZU1|ASB6_MOUSE","Asb6","Ankyrin repeat and SOCS box protein 6 OS=Mus musculus GN=Asb6 PE=1 SV=1",29962.4,30443.7,33952,27595.5,51131.6,49446.9,65250.2,70754.7
"sp|Q61024|ASNS_MOUSE","Asns","Asparagine synthetase [glutamine-hydrolyzing] OS=Mus musculus GN=Asns PE=2 SV=3",15113.9,14688.6,16469.1,15582.1,16929.6,16546.9,35079.6,35691
"sp|Q9D5T0|ATAD1_MOUSE","Atad1","ATPase family AAA domain-containing protein 1 OS=Mus musculus GN=Atad1 PE=1 SV=1",81108.5,81281.1,80182.9,84209,109791.8,100384.3,133624.7,140816.1
"sp|O35451|ATF6B_MOUSE","Atf6b","Cyclic AMP-dependent transcription factor ATF-6 beta OS=Mus musculus GN=Atf6b PE=2 SV=1",10176.8,11334.3,11201.6,9791.1,21564.9,17638.8,23452.9,23024.3
"sp|Q6KAU8|A16L2_MOUSE","Atg16l2","Autophagy-related protein 16-2 OS=Mus musculus GN=Atg16l2 PE=2 SV=2",14888.6,15247.7,13717.5,14941.4,20652.1,17671.8,24589.3,25559.5
"sp|Q8BGE6|ATG4B_MOUSE","Atg4b","Cysteine protease ATG4B OS=Mus musculus GN=Atg4b PE=2 SV=2",77847.9,79479.4,79940.8,74175.1,98405.9,92355.3,132075.6,119852.9
"sp|Q6PA06|ATLA2_MOUSE","Atl2","Atlastin-2 OS=Mus musculus GN=Atl2 PE=1 SV=1",35090.6,32419,37167.6,36267.2,50509.2,49037.3,56602.7,60260.7
"sp|Q9CR84|AT5G1_MOUSE","Atp5g1","ATP synthase F(0) complex subunit C1, mitochondrial OS=Mus musculus GN=Atp5g1 PE=2 SV=1",13408,13113.9,18075.7,12320.9,23001.9,18995.1,26780.9,27172.2
"sp|Q9CYN9|RENR_MOUSE","Atp6ap2","Renin receptor OS=Mus musculus GN=Atp6ap2 PE=2 SV=2",32298.5,32539.1,34390.7,34003.2,38208.5,36195.6,54526.1,51619.3
"sp|P98195|ATP9B_MOUSE","Atp9b","Probable phospholipid-transporting ATPase IIB OS=Mus musculus GN=Atp9b PE=2 SV=4",27457.7,28791.1,31524.7,29496.9,32633.7,30368.6,46178.9,46301.3
"sp|P28658|ATX10_MOUSE","Atxn10","Ataxin-10 OS=Mus musculus GN=Atxn10 PE=1 SV=2",113426,113151.2,125988.3,116420.2,162130.7,150174.2,234950.5,227905.1
